case_id,step,object,allowed_change_fraction,changed_fraction_of_image,changed_pixels_inside_interaction,changed_pixels_inside_placement_rectangle,color_histogram_similarity,dino_identity_similarity,edge_structure_similarity,interaction_inside_rectangle,object_support_inside_rectangle,outside_changed_fraction,outside_mae,outside_max_error,outside_psnr,prior_objects_mean_changed_fraction,prior_objects_mean_mae
1,1,couch,0.14825820922851562,0.11499404907226562,1.0,0.9989633438381158,0.9841565494448329,0.9996041655540466,0.9967575669288635,0.9293901968351987,1.0,0.0,0.0,0.0,inf,,
1,2,floor lamp,0.031116485595703125,0.01042938232421875,1.0,0.9999085588880761,0.9840784965310748,0.9935876727104187,0.969946563243866,0.9378754444035797,1.0,0.0,0.0,0.0,inf,0.0,0.0
1,3,potted plant,0.025508880615234375,0.012482643127441406,1.0,0.9978607991443197,0.9293659918842465,0.9640473127365112,0.8753851652145386,0.8939733811873785,1.0,0.0,0.0,0.0,inf,0.0004195898090027189,0.026747451691226658
2,1,toaster,0.014844894409179688,0.0070018768310546875,1.0,0.9994551893217107,0.9475318585878297,0.9690552949905396,0.7729519009590149,0.7928176795580111,1.0,0.0,0.0,0.0,inf,,
2,2,microwave,0.018674850463867188,0.009482383728027344,1.0,0.9995977069294981,0.9607456451306072,0.957690417766571,0.8510013818740845,0.7710652640179757,1.0,0.0,0.0,0.0,inf,0.0,0.0
2,3,oven,0.020325660705566406,0.009554862976074219,1.0,0.9999001896396846,0.9794850590357934,0.985136091709137,0.9383698105812073,0.828273823488012,1.0,0.0,0.0,0.0,inf,0.0,0.0
3,1,laptop,0.02449512481689453,0.012637138366699219,1.0,1.0,0.9901364739517976,0.9591208696365356,0.9188886880874634,0.8566478489390695,1.0,0.0,0.0,0.0,inf,,
3,2,clock,0.05085277557373047,0.034966468811035156,1.0,1.0,0.9428275053268834,0.9919294118881226,0.9124981760978699,0.9260731766779814,1.0,0.0,0.0,0.0,inf,0.0,0.0
3,3,chair,0.07891368865966797,0.03766822814941406,1.0,0.999974682262393,0.9843526618013795,0.9972501397132874,0.9908834099769592,0.9820658150748668,1.0,0.0,0.0,0.0,inf,0.0,0.0
4,1,dresser,0.05694293975830078,0.03974723815917969,1.0,1.0,0.9845613683870704,0.9967869520187378,0.9773818254470825,0.976686931618349,1.0,0.0,0.0,0.0,inf,,
4,2,bed,0.13747692108154297,0.09979057312011719,1.0,0.9999713297272501,0.9701859292531577,0.9980864524841309,0.9907675385475159,0.9924733793486178,1.0,0.0,0.0,0.0,inf,0.0,0.0
4,3,pillow,0.046753883361816406,0.029773712158203125,1.0,1.0,0.9929901634600253,0.9963189959526062,0.9463872313499451,0.9040081591024988,1.0,0.0,0.0,0.0,inf,0.0001240831632934429,0.016559740681507625
5,1,teapot,0.029183387756347656,0.015996932983398438,1.0,1.0,0.978705219704023,0.9918387532234192,0.9485368132591248,0.8692526388026535,1.0,0.0,0.0,0.0,inf,,
